R_fighter,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,R_Orthodox,R_Southpaw,R_Switch
Court McGee,0,2,0,41.0,0.365,1.0,3.5,0.605,2,0,5,1,0,0,0,0,2,0,2,180.34,190.5,170,26,1,0,0
Jonathan Brookins,0,1,0,32.0,0.47,0.0,3.0,0.23,1,0,3,1,0,0,1,0,0,0,1,182.88,185.42,145,26,0,1,0
Alan Belcher,0,2,0,26.54545455,0.396363636,0.454545455,0.363636364,0.24,2,4,23,0,0,1,0,2,3,1,7,187.96,185.42,185,27,1,0,0
Cody McKenzie,1,0,0,8.0,0.11,1.0,1.5,0.61,1,1,3,0,0,0,0,0,1,0,1,182.88,182.88,155,23,0,0,1
Evan Dunham,2,0,0,33.0,0.35666666700000005,1.6666666669999999,1.333333333,0.40166666700000003,4,2,14,0,0,2,0,1,1,0,4,177.8,177.8,155,29,0,1,0
Matthew Riddle,1,0,0,43.85714286,0.53,0.7142857140000001,3.142857143,0.488571429,3,2,20,0,0,0,3,1,0,0,5,185.42,187.96,170,25,0,1,0
Ken Stone,1,0,0,18.0,0.42,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,172.72,180.34,135,28,1,0,0
Clay Harvison,0,1,0,57.0,0.52,2.0,1.0,1.0,1,0,3,0,0,1,0,0,0,0,1,185.42,187.96,170,30,1,0,0
TJ Waldburger,1,0,0,20.0,0.48,3.5,3.0,0.425,1,1,4,0,0,0,1,0,0,0,1,180.34,190.5,170,23,1,0,0
Robert Peralta,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,172.72,180.34,145,25,1,0,0
Justin Edwards,1,0,0,42.0,0.46,0.0,7.0,0.35,0,1,3,0,0,0,0,0,0,0,0,177.8,177.8,155,28,1,0,0
Anderson Silva,0,13,0,30.61538462,0.718461538,0.46153846200000004,0.23076923100000002,0.23076923100000002,13,0,30,9,0,0,2,8,3,0,13,187.96,195.58,185,36,0,1,0
Mauricio Rua,1,0,0,36.5,0.5116666670000001,0.333333333,1.0,0.151666667,2,3,16,3,0,0,0,3,0,0,3,185.42,193.04,205,29,1,0,0
Ross Pearson,0,1,0,54.4,0.406,0.0,0.8,0.3,3,1,13,1,0,0,3,0,0,1,4,172.72,175.26,155,26,1,0,0
Minotauro Nogueira,1,0,0,24.6,0.304,1.2,1.2,0.196,2,2,12,2,0,0,2,0,1,0,3,190.5,195.58,240,35,1,0,0
Luiz Cane,0,1,0,26.85714286,0.401428571,0.0,0.14285714300000002,0.14285714300000002,3,3,10,0,0,0,1,3,0,0,4,187.96,195.58,185,30,0,1,0
Thiago Tavares,1,0,0,19.9,0.44299999999999995,1.3,2.6,0.51,2,5,25,0,0,0,3,0,2,0,5,170.18,172.72,145,26,1,0,0
Rousimar Palhares,0,1,0,7.714285714,0.31,1.714285714,1.571428571,0.331428571,3,2,13,0,0,0,1,0,4,0,5,172.72,180.34,170,31,1,0,0
Paulo Thiago,2,0,0,17.33333333,0.40166666700000003,1.8333333330000001,0.666666667,0.15666666699999998,2,3,15,0,0,0,1,1,1,0,3,180.34,185.42,170,30,1,0,0
Raphael Assuncao,1,0,0,9.0,0.45,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,165.1,167.64,135,29,1,0,0
Erick Silva,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,170,27,1,0,0
Iuri Alcantara,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,175.26,180.34,135,31,0,1,0
Yves Jabouin,1,0,0,16.0,0.43,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,170.18,172.72,135,32,1,0,0
Dan Hardy,3,0,0,22.85714286,0.307142857,0.428571429,0.28571428600000004,0.17857142899999998,4,3,19,1,0,2,1,1,0,0,4,182.88,187.96,170,29,1,0,0
Jim Miller,0,7,0,27.0,0.32899999999999996,2.0,1.8,0.484,7,1,25,0,0,0,4,2,3,0,9,172.72,180.34,155,27,0,1,0
Donald Cerrone,0,2,0,61.5,0.545,0.5,1.5,0.375,2,0,5,0,0,0,1,0,1,0,2,185.42,185.42,155,28,1,0,0
Amir Sadollah,0,2,0,55.28571429,0.422857143,0.28571428600000004,0.571428571,0.28571428600000004,2,2,16,1,0,0,3,1,1,0,5,177.8,187.96,170,30,1,0,0
CB Dollaway,1,0,0,10.0,0.42875,0.875,1.75,0.53875,3,3,12,1,0,0,2,1,2,0,5,187.96,193.04,185,28,1,0,0
Joseph Benavidez,0,1,0,48.0,0.4,0.0,5.0,0.29,1,0,3,0,0,0,1,0,0,0,1,162.56,165.1,125,27,0,1,0
Ed Herman,0,1,0,25.4,0.5660000000000001,0.7,2.3,0.47200000000000003,3,5,21,1,0,0,1,2,2,0,5,185.42,195.58,205,30,1,0,0
Ronny Markes,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,185.42,190.5,185,23,1,0,0
Jimy Hettes,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,175.26,180.34,145,24,0,1,0
Cole Miller,1,0,0,16.55555556,0.3,2.0,0.333333333,0.13888888900000002,2,3,17,0,0,0,1,1,4,0,6,185.42,187.96,145,27,1,0,0
Jacob Volkmann,0,3,0,19.0,0.36200000000000004,1.0,2.6,0.486,3,2,13,0,0,2,1,0,0,0,3,175.26,180.34,155,30,0,1,0
Edwin Figueroa,1,0,0,45.0,0.45,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,170.18,175.26,135,27,1,0,0
Rashad Evans,0,2,0,22.91666667,0.3725,0.0,3.666666667,0.394166667,5,2,32,3,1,3,2,4,0,0,10,182.88,190.5,205,31,1,0,0
Vitor Belfort,1,0,0,9.307692308,0.521538462,0.46153846200000004,0.46153846200000004,0.21153846199999998,3,5,19,4,0,0,0,6,1,1,8,182.88,187.96,185,34,0,1,0
Dennis Hallman,0,2,0,10.57142857,0.34571428600000004,1.428571429,1.142857143,0.18857142899999998,2,4,17,1,0,0,1,1,1,0,3,175.26,182.88,155,35,1,0,0
Jorge Rivera,1,0,0,26.69230769,0.495384615,0.076923077,0.46153846200000004,0.153846154,3,6,25,0,0,1,2,4,0,0,7,185.42,185.42,185,39,1,0,0
Rory MacDonald,0,1,0,26.33333333,0.41666666700000005,0.666666667,4.0,0.576666667,1,1,7,0,0,0,1,0,1,0,2,182.88,193.04,170,22,1,0,0
Matt Hamill,1,0,0,32.83333333,0.40666666700000004,0.0,1.8333333330000001,0.45916666700000003,5,3,26,0,1,0,2,5,0,0,9,185.42,193.04,205,34,1,0,0
Chad Mendes,0,1,0,56.0,0.45,0.0,4.0,0.4,1,0,3,0,0,0,1,0,0,0,1,167.64,167.64,145,26,1,0,0
Ivan Menjivar,0,1,0,8.0,0.415,1.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,167.64,162.56,145,29,1,0,0
Johny Hendricks,0,1,0,28.0,0.606666667,0.833333333,3.5,0.32666666699999997,4,1,13,0,1,0,1,3,0,0,5,175.26,175.26,185,27,0,1,0
Mike Brown,3,0,0,32.0,0.64,0.0,2.0,0.583333333,0,3,7,0,0,0,0,0,0,0,0,167.64,177.8,145,35,1,0,0
Rafael Natal,2,0,0,20.5,0.415,0.0,3.5,0.42,0,2,6,0,0,0,0,0,0,0,0,182.88,193.04,185,28,1,0,0
Dominick Cruz,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,172.72,172.72,135,26,1,0,0
Wanderlei Silva,0,1,0,22.25,0.41,0.125,0.25,0.25,1,5,18,1,0,0,1,2,0,0,3,180.34,187.96,205,34,1,0,0
Dennis Siver,0,3,0,32.72727273,0.319090909,0.272727273,0.363636364,0.17272727300000001,3,4,23,0,0,0,2,3,2,0,7,167.64,177.8,145,32,1,0,0
Tito Ortiz,5,0,0,27.73913043,0.538695652,0.260869565,2.347826087,0.547391304,6,9,58,10,0,2,3,7,1,1,14,190.5,187.96,205,36,1,0,0
Carlos Condit,0,3,0,40.0,0.41,1.25,1.0,0.3125,3,1,10,0,0,1,0,2,0,0,3,187.96,190.5,170,27,1,0,0
Melvin Guillard,0,4,0,18.30769231,0.395384615,0.076923077,1.0,0.403846154,4,4,22,0,0,2,1,5,0,1,9,175.26,172.72,155,28,1,0,0
George Sotiropoulos,1,0,0,24.375,0.36375,1.5,1.875,0.4725,7,1,18,0,0,0,2,1,4,0,7,177.8,180.34,155,33,1,0,0
Brian Bowles,0,1,0,19.0,0.31,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,1,170.18,177.8,135,31,1,0,0
Brad Tavares,0,2,0,20.0,0.61,0.0,1.5,0.25,2,0,4,0,0,0,1,1,0,0,2,185.42,187.96,185,23,1,0,0
Anthony Njokuani,1,0,0,72.0,0.38,0.0,1.0,1.0,0,1,3,0,0,0,0,0,0,0,0,185.42,190.5,155,31,1,0,0
Jeff Hougland,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,170.18,172.72,135,32,1,0,0
Cheick Kongo,1,0,0,36.38461538,0.594615385,0.23076923100000002,1.692307692,0.48,3,5,28,0,1,0,1,5,0,1,8,193.04,208.28,240,36,1,0,0
Charlie Brenneman,0,1,0,22.66666667,0.543333333,0.0,3.666666667,0.47666666700000004,1,1,8,0,0,0,2,0,0,0,2,177.8,182.88,155,30,1,0,0
Matt Brown,3,0,0,26.0,0.61375,1.375,0.5,0.375,3,4,17,0,0,0,0,3,1,0,4,182.88,190.5,170,30,1,0,0
Christian Morecraft,0,1,0,29.0,0.485,1.5,1.0,0.75,1,1,4,0,0,0,0,0,1,0,1,198.12,205.74,260,24,1,0,0
Tyson Griffin,3,0,0,44.91666667,0.375,0.833333333,1.6666666669999999,0.39083333299999995,4,5,31,0,0,1,4,1,1,0,7,167.64,172.72,145,27,1,0,0
Joe Stevenson,3,0,0,18.66666667,0.48,1.533333333,2.066666667,0.426,4,7,33,2,0,0,3,1,3,1,8,170.18,177.8,145,29,1,0,0
Joe Lauzon,1,0,0,13.11111111,0.504444444,2.0,1.7777777780000001,0.591111111,3,3,16,0,0,0,0,2,4,0,6,177.8,180.34,155,27,1,0,0
Daniel Roberts,1,0,0,4.6,0.204,1.4,2.0,0.682,3,2,9,0,0,1,0,0,2,0,3,177.8,187.96,170,30,0,1,0
Ricardo Lamas,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,172.72,180.34,145,29,1,0,0
Michael Johnson,1,0,0,30.0,0.48,0.0,0.0,0.0,0,1,3,1,0,0,0,0,0,0,0,177.8,185.42,145,25,0,1,0
Shane Carwin,1,0,0,22.2,0.51,0.0,0.2,0.1,4,1,6,2,0,0,0,4,0,0,4,187.96,203.2,265,36,1,0,0
Kenny Florian,1,0,0,24.8,0.45799999999999996,0.8,1.4,0.445333333,6,4,34,3,0,0,1,2,7,1,11,177.8,187.96,145,35,0,1,0
Mark Munoz,0,2,0,29.14285714,0.467142857,0.28571428600000004,0.857142857,0.227142857,3,2,14,0,0,1,1,3,0,0,5,182.88,182.88,185,33,1,0,0
Dave Herman,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,193.04,193.04,242,26,1,0,0
Vagner Rocha,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,155,29,1,0,0
Yves Edwards,0,2,0,24.58333333,0.5166666670000001,0.833333333,0.25,0.208333333,6,4,28,0,0,1,2,3,2,0,8,175.26,185.42,155,34,0,1,0
Jesse Bongfeldt,1,0,0,53.0,0.65,0.0,2.0,0.33,0,1,3,0,0,0,0,0,0,0,0,182.88,183.0,185,30,1,0,0
Mike Massenzio,2,0,0,2.666666667,0.316666667,1.6666666669999999,2.0,0.5166666670000001,1,2,5,0,0,0,0,0,1,0,1,187.96,185.42,185,28,0,1,0
Nick Ring,0,1,0,41.0,0.32,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,182.88,187.96,185,32,0,1,0
Dustin Poirier,0,1,0,77.0,0.52,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,175.26,182.88,155,22,0,1,0
Joey Beltran,2,0,0,56.5,0.42,0.0,0.25,0.0825,2,2,11,0,0,0,1,1,0,0,2,185.42,190.5,185,29,1,0,0
Darren Elkins,1,0,0,0.0,0.0,0.0,1.0,0.75,1,1,2,0,0,0,0,1,0,0,1,177.8,180.34,145,27,1,0,0
Ramsey Nijem,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,180.34,190.5,155,23,1,0,0
Clay Guida,0,3,0,28.92307692,0.366153846,0.692307692,3.1538461539999996,0.421538462,3,5,33,0,0,2,1,1,4,0,8,170.18,177.8,155,29,1,0,0
Ed Herman,1,0,0,27.0,0.5655555560000001,0.7777777779999999,2.555555556,0.524444444,3,5,20,1,0,0,1,1,2,0,4,185.42,195.58,205,30,1,0,0
Fabio Maldonado,0,1,0,89.0,0.72,2.0,0.0,0.0,1,0,3,0,0,0,0,1,0,0,1,185.42,190.5,205,31,1,0,0
Chuck O'Neil,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,187.96,193.0,170,25,1,0,0
Danny Downes,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,182.88,182.88,155,25,1,0,0
Josh Grispi,1,0,0,16.0,0.37,2.0,2.0,0.22,0,1,3,0,0,0,0,0,0,0,0,180.34,187.96,145,22,1,0,0
Ryan McGillivray,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,180.34,185.0,170,24,1,0,0
Clay Harvison,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,185.42,187.96,170,30,1,0,0
Scott Jorgensen,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,165.1,167.64,135,28,1,0,0
Reuben Duran,1,0,0,67.0,0.46,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,170.18,175.26,135,27,1,0,0
Rampage Jackson,0,1,0,34.375,0.49875,0.0,0.625,0.29,3,2,23,3,0,1,2,3,0,0,6,185.42,185.42,205,32,1,0,0
Frank Mir,0,1,0,10.76470588,0.49470588200000004,1.117647059,0.705882353,0.31,4,5,24,4,0,0,1,3,7,0,12,190.5,200.66,264,32,0,1,0
Stefan Struve,0,2,0,13.42857143,0.48714285700000004,2.0,0.28571428600000004,0.28571428600000004,3,2,11,0,1,0,0,2,2,0,5,210.82,213.36,265,23,1,0,0
Thiago Alves,0,1,0,31.92857143,0.472142857,0.28571428600000004,0.571428571,0.35714285700000004,7,4,33,1,0,0,3,6,0,1,10,175.26,177.8,170,27,1,0,0
Brian Stann,0,2,0,27.66666667,0.43,0.5,0.0,0.0,2,2,14,0,0,0,2,1,1,0,4,185.42,187.96,205,30,1,0,0
Miguel Torres,0,1,0,73.0,0.38,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,175.26,193.04,135,30,1,0,0
