R_fighter,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,R_Orthodox,R_Southpaw,R_Switch
Damien Brown,1,0,0,23.0,0.4375,0.5,0.25,0.0825,2,2,8,0,0,1,0,1,0,0,2,177.8,172.72,155,32,1,0,0
Alex Chambers,1,0,0,28.66666667,0.61,1.0,1.0,0.46666666700000003,1,2,7,0,0,0,0,0,1,0,1,160.02,160.02,115,39,0,0,1
Jenel Lausa,1,0,0,33.0,0.415,0.5,0.5,0.5,1,1,6,0,0,0,1,0,0,0,1,165.1,172.72,125,29,1,0,0
Anthony Hamilton,3,0,0,23.77777778,0.438888889,0.0,1.0,0.231111111,1,6,14,0,0,0,1,2,0,0,3,195.58,193.04,260,37,1,0,0
Dustin Poirier,1,0,0,45.5,0.499444444,0.611111111,1.0555555559999998,0.25,4,5,36,0,1,0,4,5,3,0,13,175.26,182.88,155,28,0,1,0
Matt Brown,3,0,0,35.26086957,0.55826087,1.043478261,1.0,0.37869565200000005,7,10,53,0,0,0,2,9,2,0,13,182.88,190.5,170,36,1,0,0
Junior Albini,0,1,0,21.0,0.6,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,190.5,187.96,264,26,1,0,0
Nate Marquardt,2,0,0,24.95833333,0.51875,0.583333333,1.375,0.45625,4,11,51,1,0,0,4,6,3,0,13,182.88,187.96,185,38,1,0,0
Raphael Assuncao,0,2,0,46.63636364,0.426363636,0.181818182,1.0,0.209090909,7,2,29,0,0,3,4,1,1,0,9,165.1,167.64,135,35,1,0,0
Joe Lauzon,1,0,0,22.125,0.435833333,1.208333333,1.375,0.415,3,10,49,0,0,1,1,4,7,1,14,177.8,180.34,155,33,1,0,0
John Dodson,0,1,0,44.18181818,0.435454545,0.0,0.636363636,0.24909090899999997,3,3,31,3,0,0,3,4,0,1,8,160.02,167.64,135,33,1,0,0
Tatiana Suarez,0,1,0,16.0,0.84,1.0,3.0,1.0,1,0,1,1,0,0,0,0,1,0,1,165.1,167.64,115,26,0,1,0
Sage Northcutt,1,0,0,20.2,0.626,0.4,0.8,0.44,2,2,10,0,0,0,1,1,1,0,3,182.88,180.34,170,21,1,0,0
Angela Hill,0,1,0,56.4,0.498,0.0,0.2,0.2,1,3,13,0,0,0,2,0,0,0,2,160.02,162.56,115,32,1,0,0
Court McGee,1,0,0,65.0,0.3675,0.5,1.9166666669999999,0.284166667,3,5,33,1,0,1,4,0,2,0,7,180.34,190.5,170,32,1,0,0
Jake Collier,1,0,0,33.4,0.452,0.4,0.6,0.172,1,3,11,0,0,1,0,1,0,0,2,190.5,198.12,205,29,1,0,0
Darren Stewart,2,0,0,19.0,0.56,0.0,1.0,0.35,0,2,4,0,0,0,0,0,0,0,0,182.88,187.96,185,26,1,0,0
Michael Bisping,0,5,0,56.77777778,0.38814814799999997,0.185185185,0.962962963,0.247407407,5,7,75,3,0,2,8,10,0,0,20,185.42,190.5,185,38,1,0,0
Cody Garbrandt,0,6,0,37.5,0.371666667,0.0,0.833333333,0.18,6,0,14,1,0,0,2,4,0,0,6,172.72,165.1,135,26,1,0,0
Joanna Jedrzejczyk,0,8,0,131.875,0.475,0.0,0.25,0.1875,8,0,31,6,0,1,5,2,0,0,8,167.64,165.1,125,30,1,0,0
Stephen Thompson,2,0,0,48.09090909,0.47272727299999995,0.0,0.454545455,0.166363636,7,3,30,2,0,0,3,5,0,0,8,182.88,190.5,170,34,1,0,0
Johny Hendricks,1,0,0,42.9,0.508,0.3,3.05,0.3095,6,7,54,3,1,2,5,5,0,0,13,175.26,175.26,185,34,0,1,0
James Vick,0,2,0,34.375,0.32375,0.625,0.125,0.0625,5,1,16,0,0,0,3,1,3,0,7,190.5,193.04,155,30,1,0,0
Walt Harris,1,0,0,19.75,0.31875,0.125,0.0,0.0,2,5,14,0,0,0,0,3,0,0,3,195.58,195.58,250,34,0,1,0
Ovince Saint Preux,0,2,0,26.21428571,0.46,0.28571428600000004,0.642857143,0.297142857,4,5,33,1,1,0,1,4,3,0,9,190.5,203.2,205,34,0,1,0
Randy Brown,1,0,0,32.8,0.444,0.6,0.6,0.316,2,2,13,0,0,0,1,1,1,0,3,190.5,198.12,170,27,1,0,0
Aleksei Oleinik,0,2,0,18.2,0.484,1.2,1.6,0.314,2,1,8,0,0,0,0,1,3,0,4,187.96,203.2,240,40,1,0,0
Aiemann Zahabi,0,1,0,44.0,0.39,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,172.72,172.72,135,29,1,0,0
Derek Brunson,0,1,0,21.63636364,0.480909091,0.272727273,1.181818182,0.13,5,3,19,0,0,0,2,5,1,0,8,185.42,195.58,185,33,0,1,0
Demian Maia,1,0,0,21.61538462,0.543461538,0.923076923,2.307692308,0.389615385,7,7,70,2,0,1,8,1,9,0,19,185.42,182.88,170,39,0,1,0
Pedro Munhoz,0,3,0,33.14285714,0.511428571,0.857142857,0.857142857,0.257142857,3,3,14,0,0,0,1,1,2,0,4,167.64,165.1,135,31,1,0,0
Francisco Trinaldo,1,0,0,37.06666667,0.5046666670000001,0.4,0.8,0.27066666699999997,7,4,36,0,0,1,5,2,2,1,11,175.26,177.8,155,39,0,1,0
Thiago Santos,0,2,0,21.45454545,0.428181818,0.0,0.181818182,0.090909091,4,4,17,0,0,0,1,6,0,0,7,187.96,193.04,205,33,1,0,0
John Lineker,1,0,0,55.76923077,0.41,0.46153846200000004,0.46153846200000004,0.192307692,6,3,32,0,0,1,3,5,1,0,10,160.02,170.18,135,27,1,0,0
Vicente Luque,1,0,0,18.16666667,0.47833333299999997,0.5,1.0,0.18,4,2,11,0,0,0,0,2,2,0,4,180.34,190.5,170,25,1,0,0
Antonio Carlos Junior,0,2,0,23.57142857,0.41,0.571428571,3.285714286,0.407142857,2,3,19,1,0,0,2,0,2,0,4,187.96,200.66,185,27,1,0,0
Hacran Dias,2,0,0,31.0,0.45,0.428571429,2.857142857,0.38,2,4,21,0,0,1,2,0,0,0,3,172.72,175.26,155,33,1,0,0
Elizeu Zaleski dos Santos,0,3,0,61.5,0.3925,0.75,0.5,0.285,3,1,12,0,0,1,1,1,0,0,3,180.34,185.42,170,30,1,0,0
Deiveson Figueiredo,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,165.1,172.72,125,29,1,0,0
Marcelo Golm,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,190.5,190.5,249,25,1,0,0
Donald Cerrone,2,0,0,44.84,0.49200000000000005,0.4,0.72,0.302,8,6,53,1,0,0,6,8,5,0,19,185.42,185.42,155,34,1,0,0
Karolina Kowalkiewicz,2,0,0,65.6,0.32799999999999996,0.0,0.0,0.0,3,2,15,1,0,1,2,0,0,0,3,160.02,162.56,115,32,1,0,0
Jan Blachowicz,2,0,0,42.66666667,0.5,0.166666667,1.0,0.41666666700000005,1,4,16,0,0,0,1,1,0,0,2,187.96,198.12,205,34,1,0,0
Oskar Piechota,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,182.88,193.04,185,27,0,1,0
Marcin Held,3,0,0,28.0,0.37,0.666666667,3.0,0.666666667,0,3,9,0,0,0,0,0,0,0,0,175.26,180.34,155,25,1,0,0
Damian Stasiak,1,0,0,17.5,0.45,0.75,2.25,0.5675,2,2,10,0,0,0,0,0,2,0,2,165.1,177.8,135,27,1,0,0
Sam Alvey,0,1,0,30.08333333,0.500833333,0.083333333,0.0,0.0,4,4,25,0,0,1,2,4,1,0,8,187.96,190.5,205,31,0,1,0
Artem Lobov,1,0,0,56.6,0.358,0.0,0.6,0.25,2,3,17,1,0,0,2,0,0,0,2,175.26,165.1,145,31,0,1,0
Salim Touahri,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,177.8,182.88,170,28,1,0,0
Lina Lansberg,0,1,0,47.0,0.575,0.0,0.5,0.07,1,1,5,0,0,0,1,0,0,0,1,170.18,165.1,135,35,1,0,0
Felipe Arantes,1,0,0,29.1,0.515,0.7,0.9,0.253,2,5,25,0,0,0,2,1,2,0,5,172.72,185.42,135,29,1,0,0
Tony Ferguson,0,9,0,51.07692308,0.41153846200000005,1.0,0.46153846200000004,0.32,9,1,28,1,0,1,3,2,5,1,12,180.34,193.04,155,33,1,0,0
Demetrious Johnson,0,12,0,64.25,0.53375,0.625,4.0625,0.44,12,2,59,12,0,1,7,2,4,0,14,160.02,167.64,125,31,1,0,0
Fabricio Werdum,1,0,0,48.46153846,0.572307692,0.23076923100000002,0.538461538,0.153076923,6,4,30,3,0,0,3,4,2,0,9,193.04,195.58,231,40,1,0,0
Mara Romero Borella,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,167.64,175.26,125,31,1,0,0
Tom Duquesnoy,0,1,0,36.0,0.73,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,170.18,172.72,135,24,1,0,0
Pearl Gonzalez,1,0,0,37.0,0.33,1.0,2.0,0.66,0,1,3,0,0,0,0,0,0,0,0,162.56,172.72,115,31,1,0,0
Matt Schnell,2,0,0,15.0,0.41,0.5,0.5,0.5,0,2,2,0,0,0,0,0,0,0,0,172.72,177.8,135,27,1,0,0
John Moraga,0,1,0,33.18181818,0.41272727299999995,0.9090909090000001,0.636363636,0.24090909100000002,2,5,31,1,0,1,1,1,3,0,6,167.64,167.64,125,33,1,0,0
Thales Leites,0,1,0,25.05555556,0.408888889,0.944444444,1.7777777780000001,0.285555556,5,6,48,1,0,1,4,2,5,0,12,185.42,198.12,185,36,1,0,0
Ovince Saint Preux,0,1,0,28.23076923,0.495384615,0.23076923100000002,0.692307692,0.32,4,5,32,1,1,0,1,4,2,0,8,190.5,203.2,205,34,0,1,0
Claudia Gadelha,0,2,0,52.16666667,0.39333333299999995,0.833333333,4.5,0.676666667,2,2,18,1,0,0,3,0,1,0,4,162.56,160.02,115,28,1,0,0
Takanori Gomi,4,0,0,30.41666667,0.2825,0.0,0.083333333,0.041666667000000004,2,8,22,0,0,1,1,2,0,0,4,170.18,177.8,155,39,0,1,0
Gokhan Saki,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,182.88,185.42,205,33,1,0,0
Teruto Ishihara,2,0,0,36.8,0.514,0.0,0.0,0.0,2,3,12,0,0,0,0,2,0,0,2,170.18,175.26,135,26,0,1,0
Jussier Formiga,1,0,0,14.33333333,0.34444444399999996,0.333333333,1.333333333,0.264444444,3,4,22,0,0,0,4,0,1,0,5,165.1,170.18,125,32,1,0,0
Keita Nakamura,1,0,0,30.85714286,0.37142857100000004,0.571428571,2.0,0.47571428600000004,1,5,20,0,0,0,0,0,2,0,2,180.34,185.42,170,33,0,1,0
Syuri Kondo,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,162.56,167.64,115,28,1,0,0
Shinsho Anzai,0,1,0,27.0,0.65,0.0,1.5,0.59,1,1,4,0,0,0,0,0,0,1,1,170.18,177.8,170,31,1,0,0
Daichi Abe,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,180.34,180.34,170,25,1,0,0
Luke Rockhold,1,0,0,29.71428571,0.59,0.857142857,0.428571429,0.214285714,5,2,12,2,0,0,0,2,3,0,5,190.5,195.58,185,32,0,1,0
Mike Perry,0,1,0,46.0,0.48,0.0,0.0,0.0,2,1,9,0,0,0,0,3,0,0,3,177.8,180.34,170,26,1,0,0
Hector Lombard,4,0,0,33.88888889,0.483333333,0.222222222,1.5555555559999998,0.412222222,2,6,22,0,0,0,1,2,0,0,3,175.26,180.34,185,39,0,1,0
Gregor Gillespie,0,2,0,24.5,0.555,0.0,2.5,0.13,2,0,4,0,0,0,1,1,0,0,2,170.18,180.34,155,30,1,0,0
Kamaru Usman,0,5,0,53.0,0.5539999999999999,0.4,4.0,0.502,5,0,14,1,0,0,4,0,1,0,5,182.88,193.04,170,30,0,0,1
Justin Ledet,0,2,0,58.0,0.38,0.5,0.5,0.5,2,0,4,0,0,0,1,0,1,0,2,193.04,203.2,205,28,1,0,0
Anthony Rocco Martin,0,3,0,32.71428571,0.37714285700000005,0.857142857,1.142857143,0.354285714,3,3,17,0,0,0,2,0,2,0,4,182.88,185.42,170,27,1,0,0
Anthony Hamilton,2,0,0,26.75,0.49375,0.0,1.125,0.26,1,5,13,0,0,0,1,2,0,0,3,195.58,193.04,260,37,1,0,0
Krzysztof Jotko,1,0,0,34.625,0.455,0.0,1.0,0.36375,5,2,21,0,0,1,4,1,0,0,6,185.42,195.58,185,28,0,1,0
Jason Saggo,1,0,0,25.2,0.436,0.0,1.8,0.306,2,2,11,0,0,1,0,2,0,0,3,180.34,180.34,155,31,1,0,0
Amanda Nunes,0,5,0,24.25,0.5875,0.5,0.75,0.2275,5,1,12,2,0,0,1,4,2,0,7,172.72,175.26,145,29,1,0,0
Neil Magny,0,1,0,49.0,0.4475,0.3125,2.1875,0.478125,7,4,43,0,0,1,6,4,1,0,12,190.5,203.2,170,30,1,0,0
Henry Cejudo,2,0,0,50.16666667,0.42166666700000005,0.166666667,1.8333333330000001,0.451666667,4,2,16,1,0,1,3,0,0,0,4,162.56,162.56,135,30,1,0,0
Ilir Latifi,1,0,0,10.5,0.41125,0.25,0.75,0.3225,3,3,13,0,0,0,1,3,1,0,5,177.8,185.42,205,34,1,0,0
Jeremy Stephens,2,0,0,35.88,0.44799999999999995,0.4,1.08,0.2828,3,13,68,0,0,1,5,5,0,1,12,172.72,180.34,145,31,1,0,0
Sara McMann,0,3,0,17.25,0.46875,0.375,1.75,0.55625,3,3,15,1,0,1,1,1,2,0,5,167.64,167.64,135,36,1,0,0
Sarah Moras,1,0,0,16.5,0.38,0.5,0.5,0.25,1,1,6,0,0,0,1,0,0,0,1,170.18,170.18,135,29,1,0,0
Gavin Tucker,0,1,0,55.0,0.33,0.0,1.0,1.0,1,0,3,0,0,0,1,0,0,0,1,167.64,167.64,145,31,0,1,0
Mitch Clarke,2,0,0,23.0,0.321666667,0.333333333,0.5,0.061666667,2,4,14,0,0,0,1,0,1,0,2,177.8,185.42,155,31,1,0,0
Luis Henrique,1,0,0,17.5,0.5275,1.0,2.75,0.3925,2,2,10,0,0,0,0,0,2,0,2,187.96,187.96,243,24,1,0,0
Kajan Johnson,0,2,0,35.33333333,0.41333333299999997,0.333333333,2.333333333,0.236666667,2,1,9,0,0,0,2,0,0,0,2,180.34,190.5,155,33,1,0,0
Alexander Volkov,0,2,0,83.5,0.6,0.0,0.5,0.25,2,0,6,0,0,1,1,0,0,0,2,200.66,203.2,250,28,1,0,0
Siyar Bahadurzada,0,1,0,34.0,0.4775,0.25,1.0,0.375,1,2,10,0,0,0,0,1,1,0,2,180.34,185.42,170,33,1,0,0
Marion Reneau,1,0,0,48.83333333,0.395,0.5,0.333333333,0.333333333,2,3,16,0,0,0,1,1,1,0,3,167.64,172.72,135,40,1,0,0
Leon Edwards,0,3,0,27.28571429,0.557142857,0.28571428600000004,1.142857143,0.17285714300000002,3,2,19,0,0,0,3,1,1,0,5,182.88,187.96,170,26,0,1,0
Darren Till,0,1,0,35.0,0.53,0.0,0.666666667,0.22,1,1,8,0,0,0,1,1,0,0,2,182.88,187.96,170,24,0,1,0
Mairbek Taisumov,0,4,0,25.5,0.52,0.0,1.166666667,0.285,4,1,12,0,0,0,1,4,0,0,5,175.26,185.42,155,29,1,0,0
Michel Prazeres,0,4,0,34.5,0.485,0.25,3.875,0.40625,4,2,22,0,0,2,3,0,1,0,6,167.64,170.18,170,36,1,0,0
Rustam Khabilov,0,4,0,25.88888889,0.375555556,0.111111111,3.5555555560000003,0.494444444,4,2,24,0,0,0,5,1,0,1,7,172.72,185.42,155,30,1,0,0
Francimar Barroso,0,1,0,31.42857143,0.45,0.0,2.142857143,0.247142857,2,3,18,0,0,0,4,0,0,0,4,185.42,190.5,205,37,1,0,0
Mike Santiago,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,177.8,175.26,145,28,1,0,0
Bojan Mihajlovic,2,0,0,12.5,0.45,0.0,0.0,0.0,0,2,4,0,0,0,0,0,0,0,0,180.34,185.42,205,37,1,0,0
Thibault Gouti,3,0,0,11.0,0.223333333,0.0,0.0,0.0,0,3,5,0,0,0,0,0,0,0,0,177.8,182.88,155,30,1,0,0
Sergio Pettis,0,3,0,55.875,0.3975,0.625,1.375,0.41,3,2,23,0,0,0,6,0,0,0,6,167.64,175.26,135,23,1,0,0
Randa Markos,0,1,0,40.83333333,0.37,0.333333333,1.0,0.378333333,1,3,16,0,0,1,2,0,0,0,3,162.56,160.02,115,31,1,0,0
Alan Jouban,1,0,0,43.11111111,0.541111111,0.0,0.333333333,0.15555555599999998,3,3,18,0,0,0,3,3,0,0,6,182.88,185.42,170,35,0,1,0
Martin Bravo,0,1,0,56.0,0.46,0.0,0.0,0.0,1,0,2,1,0,0,0,1,0,0,1,172.72,180.34,145,23,0,1,0
Sam Alvey,1,0,0,29.18181818,0.505454545,0.090909091,0.0,0.0,4,4,22,0,0,0,2,4,1,0,7,187.96,190.5,205,31,0,1,0
Alejandro Perez,1,0,0,37.2,0.35600000000000004,0.2,0.4,0.166,2,2,10,1,0,0,1,2,0,0,3,167.64,170.18,135,27,1,0,0
Bradley Scott,0,1,0,44.83333333,0.47333333299999997,0.5,0.333333333,0.075,1,3,15,1,0,1,0,0,2,0,3,185.42,193.04,170,28,1,0,0
Dustin Ortiz,1,0,0,41.2,0.43799999999999994,0.1,2.5,0.307,2,5,29,0,0,3,0,2,0,0,5,165.1,165.1,125,28,1,0,0
Henry Briones,2,0,0,44.66666667,0.43,0.333333333,0.0,0.0,1,2,8,0,0,0,0,0,1,0,1,172.72,175.26,135,36,1,0,0
Jose Quinonez,0,2,0,32.0,0.47333333299999997,1.333333333,3.0,0.653333333,2,1,7,1,0,0,1,0,1,0,2,172.72,175.26,135,27,1,0,0
Joseph Morales,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,167.64,175.26,125,22,0,0,1
Alvaro Herrera,1,0,0,8.0,0.45,0.0,0.0,0.0,1,1,3,0,0,0,0,1,0,0,1,182.88,187.96,155,27,1,0,0
Tyron Woodley,0,1,0,30.0,0.544,0.2,0.5,0.25,3,3,25,3,1,1,0,5,0,0,7,175.26,187.96,170,35,1,0,0
Cris Cyborg,0,2,0,55.0,0.655,0.0,1.0,0.5,2,0,3,0,0,0,0,2,0,0,2,172.72,172.72,145,32,1,0,0
Robbie Lawler,1,0,0,48.29411765,0.458823529,0.0,0.9411764709999999,0.382352941,5,5,49,5,0,3,3,6,0,0,12,180.34,187.96,170,35,0,1,0
Jimi Manuwa,0,2,0,27.625,0.555,0.25,0.375,0.125,3,2,15,0,0,0,1,3,0,2,6,185.42,200.66,205,37,1,0,0
Ricardo Lamas,0,1,0,29.18181818,0.45,0.727272727,1.0909090909999999,0.265454545,4,3,26,1,0,0,3,2,3,0,8,172.72,180.34,145,35,1,0,0
Aljamain Sterling,0,1,0,47.14285714,0.48714285700000004,1.0,2.142857143,0.494285714,4,2,20,0,0,0,2,1,2,0,5,170.18,180.34,135,27,1,0,0
Brian Ortega,0,3,0,33.75,0.37,1.25,0.25,0.0825,3,1,10,0,0,0,0,2,1,0,3,172.72,175.26,145,26,0,0,1
Andre Fili,0,1,0,30.57142857,0.355714286,0.14285714300000002,1.714285714,0.552857143,1,3,15,0,0,0,2,2,0,0,4,180.34,187.96,145,27,1,0,0
Kailin Curran,2,0,0,36.4,0.41,0.6,1.6,0.5,1,4,12,0,0,0,0,0,1,0,1,162.56,165.1,115,26,1,0,0
Eric Shelton,1,0,0,32.0,0.34,0.0,4.0,0.33,0,1,3,0,0,0,0,0,0,0,0,167.64,172.72,125,26,1,0,0
Joshua Burkman,3,0,0,31.05882353,0.515882353,0.235294118,2.0,0.402941176,2,11,43,0,0,1,3,1,1,0,6,177.8,182.88,170,37,1,0,0
Chris Weidman,3,0,0,30.08333333,0.46583333299999996,0.666666667,2.416666667,0.6475,9,3,29,5,0,0,3,4,2,0,9,187.96,198.12,185,33,1,0,0
Dennis Bermudez,1,0,0,45.61538462,0.457692308,0.923076923,2.923076923,0.42769230799999997,7,4,30,1,0,2,4,1,2,0,9,167.64,167.64,155,30,1,0,0
Patrick Cummins,0,1,0,39.55555556,0.507777778,0.111111111,3.666666667,0.39333333299999995,3,4,19,0,0,0,3,2,0,0,5,187.96,193.04,205,36,1,0,0
Jimmie Rivera,0,4,0,52.5,0.4325,0.0,0.75,0.125,4,0,10,0,0,1,2,1,0,0,4,162.56,172.72,135,28,1,0,0
Lyman Good,0,1,0,55.0,0.51,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,182.88,187.96,170,32,1,0,0
Rafael Natal,2,0,0,40.125,0.468125,0.4375,2.25,0.2725,4,7,43,0,0,2,5,1,1,0,9,182.88,193.04,185,34,1,0,0
Ryan LaFlare,0,2,0,51.85714286,0.39285714299999996,0.28571428600000004,2.857142857,0.37714285700000005,4,1,23,0,0,0,6,0,0,0,6,185.42,187.96,170,33,0,1,0
Damian Grabowski,2,0,0,1.0,0.33,0.0,0.0,0.0,0,2,2,0,0,0,0,0,0,0,0,185.42,190.5,241,37,1,0,0
Kyle Bochniak,0,1,0,46.5,0.345,0.0,1.0,0.265,1,1,6,0,0,1,0,0,0,0,1,170.18,177.8,145,30,1,0,0
Brian Kelleher,0,1,0,4.0,0.26,1.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,167.64,167.64,135,30,0,0,1
Tim Johnson,0,1,0,37.6,0.426,0.0,1.2,0.314,1,2,13,0,0,1,1,1,0,0,3,190.5,195.58,265,32,0,1,0
Shane Burgos,0,2,0,75.0,0.42,0.0,0.5,0.5,2,0,6,0,0,0,1,1,0,0,2,180.34,190.5,145,26,1,0,0
Frankie Perez,1,0,0,16.0,0.533333333,0.333333333,0.666666667,0.193333333,1,2,7,0,0,0,0,1,0,0,1,180.34,185.42,155,28,1,0,0
Gunnar Nelson,0,2,0,19.77777778,0.621111111,0.7777777779999999,1.111111111,0.694444444,4,2,20,0,0,0,1,0,6,0,7,180.34,182.88,170,28,0,0,1
Joanne Calderwood,1,0,0,67.6,0.524,0.0,1.6,0.35,2,2,11,0,0,0,2,1,0,0,3,167.64,165.1,125,31,1,0,0
Stevie Ray,0,2,0,43.0,0.44833333299999995,0.666666667,0.333333333,0.22166666699999998,3,1,15,0,1,1,1,2,0,0,5,177.8,177.8,155,27,0,1,0
Jack Marshman,1,0,0,24.0,0.295,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,182.88,185.42,185,27,1,0,0
Khalil Rountree Jr.,0,1,0,6.666666667,0.643333333,0.0,0.0,0.0,1,2,5,1,0,0,0,1,0,0,1,185.42,193.04,205,27,0,1,0
James Mulheron,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,243,29,1,0,0
Danny Roberts,1,0,0,49.0,0.39,0.333333333,0.0,0.0,2,1,7,0,0,0,1,0,1,0,2,185.42,187.96,170,30,0,1,0
Alexandre Pantoja,0,1,0,37.0,0.37,2.0,1.0,0.33,1,0,3,0,0,1,0,0,0,0,1,165.1,170.18,125,27,1,0,0
Charlie Ward,1,0,0,2.0,0.14,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,180.34,185.42,170,36,1,0,0
Danny Henry,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,182.88,185.42,145,28,1,0,0
Brett Johns,0,1,0,49.0,0.61,0.0,11.0,0.73,1,0,3,0,0,0,1,0,0,0,1,170.18,180.34,135,25,1,0,0
Leslie Smith,0,1,0,62.66666667,0.365,0.0,0.0,0.0,1,3,13,0,0,0,2,1,0,0,3,175.26,167.64,135,34,1,0,0
Yoel Romero,0,8,0,37.25,0.5975,0.0,1.625,0.31125,8,0,22,0,0,1,1,6,0,0,8,182.88,185.42,185,40,0,1,0
Fabricio Werdum,0,1,0,48.41666667,0.585,0.25,0.5,0.138333333,6,3,27,3,0,0,3,4,2,0,9,193.04,195.58,231,39,1,0,0
Daniel Omielanczuk,2,0,0,35.125,0.65,0.125,0.5,0.21625,3,4,21,0,2,0,0,2,0,0,4,182.88,187.96,247,34,0,1,0
Anthony Pettis,1,0,0,33.18181818,0.454545455,0.363636364,0.545454545,0.06,5,5,28,4,0,1,0,2,3,0,6,177.8,182.88,170,30,1,0,0
Rob Font,0,1,0,32.5,0.53,0.25,0.5,0.3,2,1,7,0,0,0,0,3,0,0,3,172.72,180.34,135,30,1,0,0
Travis Browne,3,0,0,22.8125,0.46375,0.125,0.625,0.30125,3,7,29,0,0,0,1,7,1,0,9,198.12,200.66,255,34,1,0,0
Chad Laprise,0,1,0,48.83333333,0.435,0.0,0.666666667,0.095,3,2,14,1,0,1,2,1,0,0,4,177.8,180.34,170,30,1,0,0
Thiago Santos,0,1,0,17.6,0.419,0.0,0.2,0.1,4,4,15,0,0,0,1,5,0,0,6,187.96,193.04,205,33,1,0,0
Jordan Mein,2,0,0,30.0,0.513333333,0.0,1.166666667,0.26666666699999997,2,3,12,0,0,1,0,2,0,0,3,182.88,185.42,170,27,1,0,0
Cody Stamann,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,167.64,162.56,135,27,1,0,0
Trevin Giles,0,0,0,30.686238297754766,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,185,24,1,0,0
Michael Johnson,1,0,0,42.6875,0.339375,0.0625,0.4375,0.328125,4,7,40,1,0,0,5,4,0,0,9,177.8,185.42,145,31,0,1,0
Dhiego Lima,2,0,0,22.0,0.4175,1.0,1.5,0.1875,1,3,6,1,0,0,1,0,0,0,1,187.96,187.96,170,28,1,0,0
Jared Cannonier,1,0,0,29.25,0.59,0.0,0.0,0.0,2,2,8,0,0,0,1,1,0,0,2,180.34,195.58,185,33,0,0,1
Brad Tavares,0,1,0,39.15384615,0.41692307700000003,0.0,1.076923077,0.23384615399999997,5,4,34,0,0,2,6,1,0,0,9,185.42,187.96,185,29,1,0,0
Jordan Johnson,0,1,0,39.0,0.58,2.0,4.0,0.8,1,0,3,0,0,0,1,0,0,0,1,187.96,200.66,205,28,1,0,0
Angela Hill,3,0,0,58.75,0.505,0.0,0.0,0.0,1,3,10,0,0,0,1,0,0,0,1,160.02,162.56,115,32,1,0,0
James Krause,0,2,0,48.85714286,0.45285714299999996,0.571428571,0.571428571,0.23428571399999998,2,3,15,0,0,0,1,1,2,0,4,187.96,185.42,170,31,1,0,0
Ed Herman,1,0,0,27.15789474,0.497368421,0.684210526,1.631578947,0.466842105,3,9,41,1,0,1,2,3,4,0,10,185.42,195.58,205,36,1,0,0
Tecia Torres,0,1,0,69.4,0.474,0.0,0.8,0.332,3,1,15,0,0,0,4,0,0,0,4,154.94,152.4,115,27,1,0,0
Gray Maynard,1,0,0,25.77777778,0.363333333,0.5555555560000001,2.166666667,0.41944444399999997,8,8,51,2,0,3,6,1,0,0,10,175.26,177.8,155,38,1,0,0
