B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age,B_Orthodox,B_Southpaw,B_Switch
Luke Sanders,1,0,0,40.8,0.5,0.2,0.2,0.1,1,3,9,0,0,0,1,0,1,0,2,167.64,170.18,135,33,0,1,0
Emily Whitmire,0,1,0,31.0,0.44,0.0,0.5,0.25,1,1,4,0,0,0,1,0,0,0,1,165.1,160.02,115,27,1,0,0
Anderson Silva,0,1,0,33.63636364,0.651363636,0.272727273,0.13636363599999998,0.13636363599999998,16,5,55,13,0,0,3,11,3,0,17,187.96,195.58,185,43,0,1,0
Marcos Mariano,0,0,0,29.93808240964097,0.27,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,185.42,193.04,155,32,0,0,1
Ricky Simon,0,2,0,29.5,0.4,0.5,4.5,0.315,2,0,6,0,0,0,1,1,0,0,2,167.64,175.26,135,26,1,0,0
Nadia Kassem,0,1,0,52.0,0.49,6.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,165.1,167.64,125,23,0,1,0
Sam Alvey,1,0,0,30.4375,0.48625,0.0625,0.0625,0.0625,4,6,34,0,0,2,2,5,1,0,10,187.96,190.5,205,32,0,1,0
Dong Hyun Ma,0,3,0,40.6,0.52,0.0,1.2,0.332,3,2,13,0,0,1,1,1,0,0,3,180.34,177.8,155,30,1,0,0
Austin Arnett,0,1,0,43.0,0.436666667,0.0,0.666666667,0.386666667,1,2,8,0,0,0,1,0,0,0,1,182.88,182.88,145,27,1,0,0
Raulian Paiva,0,0,0,29.93808240964097,0.43,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,172.72,175.26,125,23,1,0,0
Kyung Ho Kang,1,0,0,31.33333333,0.38333333299999994,1.166666667,2.0,0.591666667,3,3,16,0,0,1,0,0,2,0,3,175.26,185.42,135,31,1,0,0
Jalin Turner,1,0,0,31.0,0.53,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,190.5,195.58,155,23,0,1,0
Jonathan Martinez,1,0,0,71.0,0.63,0.0,1.0,0.5,0,1,3,0,0,0,0,0,0,0,0,172.72,177.8,135,32,0,1,0
Marlon Moraes,0,3,0,25.75,0.475,0.25,0.25,0.125,3,1,8,0,0,1,0,2,0,0,3,167.64,170.18,135,30,1,0,0
Renato Moicano,0,2,0,67.33333333,0.45333333299999995,0.333333333,1.0,0.4,3,1,15,0,0,2,1,0,2,0,5,180.34,182.88,145,29,1,0,0
Lyman Good,0,1,0,48.0,0.53,0.0,0.333333333,0.333333333,1,1,6,0,0,0,0,2,0,0,2,182.88,187.96,170,33,1,0,0
David Teymur,0,5,0,54.6,0.442,0.0,0.8,0.322,5,0,13,0,0,0,3,2,0,0,5,175.26,185.42,155,29,0,1,0
Justin Ledet,1,0,0,41.0,0.375,0.25,0.25,0.25,3,1,10,0,0,1,1,0,1,0,3,193.04,203.2,205,30,1,0,0
Sarah Frota,0,0,0,29.93808240964097,0.52,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,167.64,175.26,115,31,0,1,0
Anthony Hernandez,0,0,0,29.93808240964097,0.54,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,182.88,190.5,185,25,1,0,0
Taila Santos,0,0,0,29.93808240964097,0.49,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,165.1,172.72,125,25,1,0,0
Max Griffin,1,0,0,40.2,0.43,0.2,0.2,0.1,1,3,13,0,0,0,1,1,0,0,2,180.34,193.04,170,33,1,0,0
Jairzinho Rozenstruik,0,0,0,29.93808240964097,0.46,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,193.04,198.12,242,30,1,0,0
Felipe Colares,0,0,0,29.93808240964097,0.47,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,175.26,175.26,135,24,1,0,0
Said Nurmagomedov,0,1,0,65.0,0.57,0.0,1.0,0.09,1,0,3,0,0,1,0,0,0,0,1,172.72,177.8,135,26,1,0,0
Rogerio Bontorin,0,0,0,29.93808240964097,0.52,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,167.64,170.18,125,26,1,0,0
TJ Dillashaw,0,4,0,66.93333333,0.40933333299999997,0.8,1.4,0.318666667,4,3,42,7,0,0,4,7,1,0,12,167.64,170.18,125,32,1,0,0
Allen Crowder,1,0,0,15.0,0.39,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,190.5,193.04,245,29,1,0,0
Yancy Medeiros,1,0,0,31.58333333,0.358333333,0.333333333,0.083333333,0.083333333,3,6,21,0,0,1,0,2,3,0,6,177.8,190.5,155,31,1,0,0
Dustin Ortiz,0,3,0,35.69230769,0.44692307700000006,0.076923077,2.461538462,0.280769231,3,5,34,0,0,3,1,4,0,0,8,165.1,165.1,125,30,1,0,0
Rachael Ostovich,1,0,0,21.5,0.32,1.0,0.5,0.5,1,1,4,0,0,0,0,0,1,0,1,160.02,157.48,125,27,1,0,0
Karl Roberson,0,1,0,18.33333333,0.62,0.666666667,1.0,0.553333333,1,1,5,0,0,0,1,0,1,0,2,185.42,187.96,205,28,0,1,0
Donald Cerrone,0,1,0,42.48275862,0.500344828,0.379310345,0.689655172,0.28137931,8,8,61,1,0,0,6,9,6,0,21,185.42,185.42,155,35,1,0,0
Ariane Lipski,0,0,0,29.93808240964097,0.31,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,160.02,170.18,125,24,1,0,0
Vinicius Moreira,0,0,0,29.93808240964097,0.6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,193.04,191.77,185,29,1,0,0
Mario Bautista,0,0,0,29.93808240964097,0.49,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,175.26,182.88,135,25,0,0,1
Te Edwards,1,0,0,5.0,0.33,0.0,1.0,1.0,0,1,2,0,0,0,0,0,0,0,0,172.72,182.88,155,28,1,0,0
Geoff Neal,0,2,0,36.5,0.51,0.5,0.0,0.0,2,0,3,0,0,0,0,1,1,0,2,180.34,190.5,170,28,0,1,0
Chance Rencountre,1,0,0,16.0,0.13,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,187.96,190.5,170,32,0,1,0
Alexander Gustafsson,0,2,0,45.78571429,0.393571429,0.35714285700000004,1.285714286,0.325,6,4,35,2,0,0,3,5,2,0,10,195.58,200.66,205,31,1,0,0
Amanda Nunes,0,7,0,40.4,0.5660000000000001,0.4,1.1,0.282,7,1,22,4,0,1,1,5,2,0,9,172.72,175.26,145,30,1,0,0
Michael Chiesa,2,0,0,17.54545455,0.39090909100000004,0.727272727,1.545454545,0.396363636,3,4,22,1,0,0,2,0,5,0,7,185.42,190.5,170,31,0,1,0
Corey Anderson,0,2,0,54.0,0.48416666700000005,0.0,4.333333333,0.53,3,4,31,1,0,0,6,2,0,0,8,190.5,200.66,205,29,1,0,0
Alexander Volkanovski,0,5,0,75.6,0.63,0.6,3.2,0.5479999999999999,5,0,13,0,0,0,3,2,0,0,5,167.64,180.34,145,30,1,0,0
Megan Anderson,1,0,0,26.0,0.44,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,182.88,182.88,145,28,1,0,0
Petr Yan,0,2,0,62.5,0.525,0.0,0.0,0.0,2,0,4,0,0,0,1,1,0,0,2,170.18,170.18,135,25,0,0,1
Ryan Hall,0,2,0,34.5,0.475,0.5,0.5,0.165,2,0,6,1,0,0,2,0,0,0,2,177.8,180.34,155,33,0,1,0
Andre Ewell,0,1,0,53.0,0.43,0.0,1.0,1.0,1,0,3,0,0,1,0,0,0,0,1,172.72,190.5,135,30,0,1,0
Bevon Lewis,0,0,0,29.93808240964097,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,190.5,200.66,185,27,1,0,0
Siyar Bahadurzada,0,3,0,35.33333333,0.49166666700000006,0.333333333,0.833333333,0.41666666700000005,3,2,14,0,0,0,0,3,1,0,4,180.34,185.42,170,34,1,0,0
Montel Jackson,1,0,0,42.0,0.44,0.0,2.0,1.0,0,1,3,0,0,0,0,0,0,0,0,177.8,190.5,135,26,0,1,0
Al Iaquinta,1,0,0,47.81818182,0.441818182,0.272727273,0.727272727,0.234545455,5,3,28,2,0,1,3,4,0,0,8,177.8,177.8,155,31,1,0,0
Dan Hooker,0,4,0,33.5,0.475,0.3,0.3,0.099,4,3,20,0,0,0,0,5,2,0,7,182.88,190.5,155,28,0,0,1
Sergio Pettis,1,0,0,54.33333333,0.374166667,0.41666666700000005,0.916666667,0.273333333,4,4,37,0,0,1,7,0,0,0,8,167.64,175.26,135,25,1,0,0
Charles Oliveira,0,2,0,21.19047619,0.5071428570000001,1.285714286,1.333333333,0.428095238,4,9,39,0,0,0,1,0,11,0,12,177.8,187.96,155,29,1,0,0
Dwight Grant,0,0,0,29.93808240964097,0.36,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,185.42,193.04,170,34,0,0,1
