winner_is_blue,is_title_bout,no_of_rounds,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,total_fight_time_secs,finish_DQ,finish_KO/TKO,finish_M-DEC,finish_Overturned,finish_S-DEC,finish_SUB,finish_U-DEC,year,month,day,Australia,Brazil,Canada,Chile,China,Croatia,Czech Republic,Denmark,Germany,Ireland,Japan,Mexico,Netherlands,New Zealand,Philippines,Poland,Russia,Singapore,South Korea,Sweden,USA,United Arab Emirates,United Kingdom,Uruguay,Catch Weight,Featherweight,Flyweight,Heavyweight,Light Heavyweight,Lightweight,Middleweight,Welterweight,Women's Bantamweight,Women's Featherweight,Women's Flyweight,Women's Strawweight,B_Orthodox,B_Southpaw,B_Switch,R_Orthodox,R_Southpaw,R_Switch,better_rank_Red,better_rank_neither,weight_dif,odds_dif,ev_dif,draw_dif,avg_SIG_STR_pct_dif,avg_TD_pct_dif,win_by_Decision_Majority_dif,win_by_Decision_Split_dif,win_by_Decision_Unanimous_dif,win_by_TKO_Doctor_Stoppage_dif
0,0,3,0,0,-2,-2,-1,-7,-1,0,0,2.54,-5.08,-3,-1.25,0.7,-2.39,1,900.0,0,0,0,0,0,0,0,2020,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,340,97.36842105,0,-0.16000000000000003,-0.53,0,0,-2,0
0,0,3,0,-2,-2,-5,-1,-6,0,0,-4,-2.54,-7.62,5,0.65,-0.9,0.43,1,900.0,0,0,0,0,0,0,0,2020,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,360,110.0,-1,0.0,0.26999999999999996,0,-1,0,0
0,0,3,0,0,-2,-9,-8,-36,0,-5,-2,-2.54,-10.16,-9,-0.58,-0.2,-0.58,1,900.0,0,0,0,0,0,0,0,2020,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,-270,-53.33333333,0,-0.14,-0.19,0,-1,-1,0
0,0,3,0,-1,-3,-4,-2,-15,0,-1,-1,-12.7,-20.32,-1,-4.29,-1.1,-1.26,1,900.0,0,0,0,0,0,0,0,2020,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,15,788,311.02197802,0,-0.55,-0.43,0,-1,-1,0
0,0,3,-1,0,-3,-3,-2,-12,0,-1,0,-2.54,-7.62,6,-1.18,0.0,3.71,1,900.0,0,0,0,0,0,0,0,2020,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,428,146.33333333000002,0,0.16000000000000003,0.41000000000000003,0,0,-2,0
0,0,3,-1,1,-1,-3,-2,-15,-1,0,0,-2.54,-5.08,-8,-2.06,1.0,0.75,1,900.0,0,0,0,0,0,0,0,2020,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-292,-68.27160494,0,-0.010000000000000009,0.03999999999999998,0,0,-3,0
0,0,3,0,0,0,-1,-1,-8,0,1,-1,2.54,5.08,-4,20.75,-1.0,-2.08,1,900.0,0,0,0,0,0,0,0,2020,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10,251,40.05755396000001,0,0.16000000000000003,-0.33,0,0,-1,0
0,0,3,0,-2,-2,-2,0,-6,0,0,0,0.0,2.54,10,4.27,-1.0,1.0,1,900.0,0,0,0,0,0,0,0,2020,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,820,319.16666667,0,0.18999999999999995,-0.16999999999999998,0,0,-2,0
0,0,3,-1,0,0,0,-1,-3,0,0,0,5.08,5.08,-2,-2.27,0.0,0.0,1,900.0,0,0,0,0,0,0,0,2020,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,334,94.23655914,0,-0.36,0.0,0,0,0,0
0,0,3,0,2,-1,-10,-6,-30,0,-4,-1,2.54,-7.62,-14,0.72,0.3,3.97,1,626.0,0,1,0,0,0,0,0,2020,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-635,-247.22222222,0,0.07,0.11000000000000004,0,1,-6,0
